topology,seed,generation,best_fitness,mean_fitness,diversity_total,diversity_between,diversity_within
fc,4,0,0.385650,0.079271,0.326564,0.055140,0.342628
fc,4,1,0.527736,0.192168,0.343069,0.237477,0.278033
fc,4,2,0.541139,0.258488,0.314527,0.222153,0.240539
fc,4,3,0.643732,0.347692,0.305298,0.235343,0.218531
fc,4,4,0.664895,0.375521,0.352693,0.277119,0.253194
fc,4,5,0.692376,0.403629,0.351607,0.362991,0.169300
fc,4,6,0.692376,0.511395,0.331544,0.175844,0.312663
fc,4,7,0.707549,0.465647,0.268371,0.089542,0.274723
fc,4,8,0.707549,0.438850,0.251111,0.105395,0.247600
fc,4,9,0.707549,0.553371,0.205445,0.134777,0.177803
fc,4,10,0.709974,0.583045,0.215325,0.166063,0.173725
fc,4,11,0.709974,0.631017,0.165225,0.096516,0.159677
fc,4,12,0.709974,0.626588,0.137730,0.058600,0.138316
fc,4,13,0.709974,0.626897,0.154696,0.055609,0.158712
fc,4,14,0.709974,0.584373,0.163366,0.069072,0.162005
fc,4,15,0.709974,0.577976,0.158382,0.050609,0.160752
fc,4,16,0.709974,0.643869,0.144463,0.058432,0.148776
fc,4,17,0.709974,0.615753,0.119907,0.033471,0.123771
fc,4,18,0.709974,0.607175,0.110529,0.058375,0.106531
fc,4,19,0.709974,0.615310,0.132164,0.065648,0.128602
fc,4,20,0.709974,0.599391,0.119677,0.071411,0.110707
fc,4,21,0.709974,0.652829,0.065260,0.027599,0.067307
fc,4,22,0.709974,0.616318,0.103280,0.036279,0.103242
fc,4,23,0.709974,0.604546,0.104745,0.045206,0.104924
fc,4,24,0.709974,0.620847,0.119482,0.052079,0.118274
fc,4,25,0.709974,0.594415,0.138816,0.070824,0.134239
fc,4,26,0.709974,0.633029,0.068840,0.028103,0.071307
fc,4,27,0.709974,0.609537,0.087214,0.035372,0.087232
fc,4,28,0.709974,0.587051,0.110668,0.037508,0.112364
fc,4,29,0.709974,0.603385,0.131505,0.055986,0.131303
fc,5,0,0.633402,0.191211,0.327316,0.128509,0.321988
fc,5,1,0.634441,0.254595,0.346507,0.247764,0.277026
fc,5,2,0.661837,0.419728,0.279622,0.203219,0.212329
fc,5,3,0.661837,0.380748,0.259820,0.242114,0.165940
fc,5,4,0.668124,0.405958,0.264043,0.244584,0.164950
fc,5,5,0.668382,0.425847,0.278856,0.277989,0.152615
fc,5,6,0.672169,0.547680,0.235232,0.148105,0.214127
fc,5,7,0.675472,0.500672,0.209102,0.112376,0.196714
fc,5,8,0.675472,0.495843,0.202032,0.117395,0.187116
fc,5,9,0.675472,0.470196,0.190029,0.098551,0.181535
fc,5,10,0.675472,0.491255,0.176698,0.079869,0.174061
fc,5,11,0.675472,0.597912,0.131563,0.052594,0.134618
fc,5,12,0.700086,0.552086,0.137266,0.071204,0.131984
fc,5,13,0.700086,0.514729,0.156524,0.093639,0.141715
fc,5,14,0.700086,0.501519,0.174464,0.129075,0.134907
fc,5,15,0.700086,0.439752,0.189568,0.139632,0.146201
fc,5,16,0.700086,0.567967,0.155189,0.082219,0.149474
